Field Name:,Period,HaulID,StartLatitude,StartLongitude,FishID,Species,SamplingApproach,FishLength,LenMeasType,FishWeight,Sex,MaturityScale (2),MaturityStage (2),Age,AgeSource,AgePrepMet,AgeID,letter,OvaryID,OvaryWeight,OvaryWeightMethod,SubSampleVol,Notes,Screening,method
AZTI,3,1,46.75,-4.89,13,MAC,R,39,1,418.8,F,Walsh 1990,3,10,O,ALR,13,K,K013,44.8,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,14,MAC,R,38.4,1,424.4,F,Walsh 1990,4,11,O,ALR,14,K,K014,43.6,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,15,MAC,R,39.4,1,406.8,F,Walsh 1990,4,9,O,ALR,15,K,K015,43.7,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,16,MAC,R,40.2,1,462.6,F,Walsh 1990,3,8,O,ALR,16,K,K016,23.9,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,17,MAC,R,39.5,1,424.8,F,Walsh 1990,5,11,O,ALR,17,K,K017,26.3,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,18,MAC,R,40.7,1,478.2,F,Walsh 1990,3,10,O,ALR,18,K,K018,42.1,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,19,MAC,R,40,1,480.2,F,Walsh 1990,4,12,O,ALR,19,K,K019,42.7,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,20,MAC,R,37.6,1,409,F,Walsh 1990,3,10,O,ALR,20,K,K020,33.4,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,21,MAC,R,36.9,1,373.4,F,Walsh 1990,4,6,O,ALR,21,K,K021,35.3,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,22,MAC,R,37.6,1,394.6,F,Walsh 1990,3,6,O,ALR,22,K,K022,32,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,23,MAC,R,37.4,1,403,F,Walsh 1990,3,10,O,ALR,23,K,K023,33.3,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,24,MAC,R,38.9,1,450.2,F,Walsh 1990,3,11,O,ALR,24,K,K024,35.6,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,25,MAC,R,38.9,1,444,F,Walsh 1990,3,11,O,ALR,25,K,K025,52.2,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,26,MAC,R,37.5,1,403.8,F,Walsh 1990,3,9,O,ALR,26,K,K026,33.8,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,27,MAC,R,40.5,1,491.4,F,Walsh 1990,4,13,O,ALR,27,K,K027,42.5,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,28,MAC,R,38.8,1,452.8,F,Walsh 1990,3,10,O,ALR,28,K,K028,36.2,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,29,MAC,R,39.7,1,442.4,F,Walsh 1990,3,8,O,ALR,29,K,K029,33.5,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,30,MAC,R,36.1,1,337.2,F,Walsh 1990,3,6,O,ALR,30,K,K030,33.8,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,31,MAC,R,38.6,1,408,F,Walsh 1990,3,7,O,ALR,31,K,K031,37.4,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,32,MAC,R,39.4,1,440.2,F,Walsh 1990,3,9,O,ALR,32,K,K032,36.7,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,33,MAC,R,40,1,453,F,Walsh 1990,3,10,O,ALR,33,K,K033,47.7,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,34,MAC,R,38.3,1,395.6,F,Walsh 1990,4,10,O,ALR,34,K,K034,39.2,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,35,MAC,R,39.7,1,475.2,F,Walsh 1990,4,10,O,ALR,35,K,K035,69.7,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,36,MAC,R,41.5,1,525,F,Walsh 1990,4,12,O,ALR,36,K,K036,69,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,37,MAC,R,39.2,1,452.8,F,Walsh 1990,3,9,O,ALR,37,K,K037,39.5,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,38,MAC,R,37.2,1,377,F,Walsh 1990,3,6,O,ALR,38,K,K038,39.8,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,39,MAC,R,39.2,1,470,F,Walsh 1990,3,10,O,ALR,39,K,K039,44.4,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,40,MAC,R,40.2,1,548.6,F,Walsh 1990,3,9,O,ALR,40,K,K040,53.7,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,41,MAC,R,39.3,1,384,F,Walsh 1990,3,8,O,ALR,41,K,K041,33.9,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,42,MAC,R,39.2,1,417.8,F,Walsh 1990,3,10,O,ALR,42,K,K042,43.1,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,43,MAC,R,38.2,1,435.4,F,Walsh 1990,3,9,O,ALR,43,K,K043,47.2,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,44,MAC,R,38.8,1,427,F,Walsh 1990,4,,O,ALR,44,K,K044,42.2,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,45,MAC,R,41.2,1,467.6,F,Walsh 1990,3,11,O,ALR,45,K,K045,47.6,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,46,MAC,R,39,1,400.2,F,Walsh 1990,3,6,O,ALR,46,K,K046,33.4,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,47,MAC,R,37.6,1,378.6,F,Walsh 1990,3,6,O,ALR,47,K,K047,32.1,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,48,MAC,R,40.1,1,460,F,Walsh 1990,4,11,O,ALR,48,K,K048,50.5,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,49,MAC,R,39.2,1,406.2,F,Walsh 1990,5,9,O,ALR,49,K,K049,49.2,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,50,MAC,R,38.2,1,407,F,Walsh 1990,3,9,O,ALR,50,K,K050,38.7,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,51,MAC,R,39.6,1,478.4,F,Walsh 1990,3,8,O,ALR,51,K,K051,38.3,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,52,MAC,R,38.3,1,390.8,F,Walsh 1990,3,10,O,ALR,52,K,K052,39,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,53,MAC,R,38,1,398,F,Walsh 1990,4,11,O,ALR,53,K,K053,44.8,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,54,MAC,R,39.2,1,427,F,Walsh 1990,3,12,O,ALR,54,K,K054,38.1,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,55,MAC,R,39.3,1,411.4,F,Walsh 1990,3,10,O,ALR,55,K,K055,49.1,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,56,MAC,R,37,1,352.8,F,Walsh 1990,4,7,O,ALR,56,K,K056,34.4,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,57,MAC,R,40.6,1,465.4,F,Walsh 1990,4,10,O,ALR,57,K,K057,40.1,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,58,MAC,R,38.8,1,401.2,F,Walsh 1990,3,10,O,ALR,58,K,K058,39.6,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,59,MAC,R,38.6,1,422.2,F,Walsh 1990,3,10,O,ALR,59,K,K059,29.6,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,60,MAC,R,39.5,1,522.4,F,Walsh 1990,3,11,O,ALR,60,K,K060,44.7,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,61,MAC,R,39.3,1,419.8,F,Walsh 1990,3,10,O,ALR,61,,,,,,,,
AZTI,3,1,46.75,-4.89,62,MAC,R,37.1,1,391.8,F,Walsh 1990,3,9,O,ALR,62,,,,,,,,
AZTI,3,1,46.75,-4.89,63,MAC,R,39.2,1,445.8,F,Walsh 1990,3,10,O,ALR,63,,,,,,,,
AZTI,3,1,46.75,-4.89,64,MAC,R,38.6,1,413.6,F,Walsh 1990,3,11,O,ALR,64,,,,,,,,
AZTI,3,1,46.75,-4.89,65,MAC,R,40,1,429.6,F,Walsh 1990,3,9,O,ALR,65,,,,,,,,
AZTI,3,1,46.75,-4.89,66,MAC,R,38.1,1,417,F,Walsh 1990,3,8,O,ALR,66,,,,,,,,
AZTI,3,1,46.75,-4.89,67,MAC,R,39.8,1,462.4,F,Walsh 1990,3,11,O,ALR,67,,,,,,,,
AZTI,3,1,46.75,-4.89,68,MAC,R,40.3,1,470.4,F,Walsh 1990,3,9,O,ALR,68,,,,,,,,
AZTI,3,1,46.75,-4.89,69,MAC,R,39.7,1,439.1,M,Walsh 1990,4,13,O,ALR,69,,,,,,,,
AZTI,3,1,46.75,-4.89,70,MAC,R,39.8,1,425,M,Walsh 1990,4,11,O,ALR,70,,,,,,,,
AZTI,3,1,46.75,-4.89,71,MAC,R,38.4,1,398.6,M,Walsh 1990,4,9,O,ALR,71,,,,,,,,
AZTI,3,1,46.75,-4.89,72,MAC,R,37.6,1,396,M,Walsh 1990,4,12,O,ALR,72,,,,,,,,
AZTI,3,1,46.75,-4.89,73,MAC,R,39.2,1,407.6,M,Walsh 1990,4,8,O,ALR,73,,,,,,,,
AZTI,3,1,46.75,-4.89,74,MAC,R,39.7,1,440.2,M,Walsh 1990,4,7,O,ALR,74,,,,,,,,
AZTI,3,1,46.75,-4.89,75,MAC,R,37.2,1,331.6,M,Walsh 1990,4,8,O,ALR,75,,,,,,,,
AZTI,3,1,46.75,-4.89,76,MAC,R,38.6,1,395.2,M,Walsh 1990,4,9,O,ALR,76,,,,,,,,
AZTI,3,1,46.75,-4.89,77,MAC,R,39.6,1,421.6,M,Walsh 1990,4,8,O,ALR,77,,,,,,,,
AZTI,3,1,46.75,-4.89,78,MAC,R,39.7,1,420.2,M,Walsh 1990,4,8,O,ALR,78,,,,,,,,
AZTI,3,1,46.75,-4.89,79,MAC,R,38.4,1,428.2,M,Walsh 1990,4,9,O,ALR,79,,,,,,,,
AZTI,3,1,46.75,-4.89,80,MAC,R,36.6,1,387,M,Walsh 1990,4,4,O,ALR,80,,,,,,,,
AZTI,3,1,46.75,-4.89,81,MAC,R,38.7,1,449.8,M,Walsh 1990,4,8,O,ALR,81,,,,,,,,
AZTI,3,1,46.75,-4.89,82,MAC,R,39.1,1,413.4,M,Walsh 1990,4,8,O,ALR,82,,,,,,,,
AZTI,3,1,46.75,-4.89,83,MAC,R,38.9,1,398,M,Walsh 1990,4,8,O,ALR,83,,,,,,,,
AZTI,3,1,46.75,-4.89,84,MAC,R,39.8,1,436.8,M,Walsh 1990,4,10,O,ALR,84,,,,,,,,
AZTI,3,1,46.75,-4.89,85,MAC,R,39.1,1,405.2,M,Walsh 1990,4,8,O,ALR,85,,,,,,,,
AZTI,3,1,46.75,-4.89,86,MAC,R,35.5,1,323.8,M,Walsh 1990,4,5,O,ALR,86,,,,,,,,
AZTI,3,1,46.75,-4.89,87,MAC,R,40.1,1,426.2,M,Walsh 1990,4,8,O,ALR,87,,,,,,,,
AZTI,3,1,46.75,-4.89,88,MAC,R,38.3,1,384.8,M,Walsh 1990,4,10,O,ALR,88,,,,,,,,
AZTI,3,1,46.75,-4.89,89,MAC,R,37,1,342.2,M,Walsh 1990,4,4,O,ALR,89,,,,,,,,
AZTI,3,1,46.75,-4.89,90,MAC,R,40.2,1,453.2,M,Walsh 1990,4,11,O,ALR,90,,,,,,,,
AZTI,3,1,46.75,-4.89,91,MAC,R,37.7,1,369.6,M,Walsh 1990,4,8,O,ALR,91,,,,,,,,
AZTI,3,1,46.75,-4.89,92,MAC,R,37.1,1,351.2,M,Walsh 1990,4,7,O,ALR,92,,,,,,,,
AZTI,3,1,46.75,-4.89,93,MAC,R,38.1,1,361,M,Walsh 1990,4,9,O,ALR,93,,,,,,,,
AZTI,3,1,46.75,-4.89,94,MAC,R,40.5,1,477,M,Walsh 1990,4,10,O,ALR,94,,,,,,,,
AZTI,3,1,46.75,-4.89,95,MAC,R,41.4,1,489.8,M,Walsh 1990,4,14,O,ALR,95,,,,,,,,
AZTI,3,1,46.75,-4.89,96,MAC,R,37.8,1,397.6,M,Walsh 1990,4,7,O,ALR,96,,,,,,,,
AZTI,3,1,46.75,-4.89,97,MAC,R,39.7,1,422.8,M,Walsh 1990,4,9,O,ALR,97,,,,,,,,
AZTI,3,1,46.75,-4.89,98,MAC,R,38.2,1,419,M,Walsh 1990,4,10,O,ALR,98,,,,,,,,
AZTI,3,1,46.75,-4.89,99,MAC,R,42,1,569,M,Walsh 1990,4,11,O,ALR,99,,,,,,,,
AZTI,3,1,46.75,-4.89,100,MAC,R,37,1,331,M,Walsh 1990,4,5,O,ALR,100,,,,,,,,
AZTI,3,1,46.75,-4.89,101,MAC,D,36.8,1,365,F,Walsh 1990,3,8,O,ALR,101,,,,,,,,
AZTI,3,1,46.75,-4.89,102,MAC,D,38.8,1,408.2,F,Walsh 1990,3,8,O,ALR,102,,,,,,,,
AZTI,3,1,46.75,-4.89,103,MAC,D,40.2,1,488.2,F,Walsh 1990,3,12,O,ALR,103,,,,,,,,
AZTI,3,1,46.75,-4.89,104,MAC,D,37.7,1,440,F,Walsh 1990,3,8,O,ALR,104,,,,,,,,
AZTI,3,1,46.75,-4.89,105,MAC,D,41.4,1,514.6,F,Walsh 1990,3,11,O,ALR,105,,,,,,,,
AZTI,3,1,46.75,-4.89,106,MAC,D,40.6,1,563.6,F,Walsh 1990,3,9,O,ALR,106,,,,,,,,
AZTI,3,1,46.75,-4.89,107,MAC,D,38.7,1,393.6,F,Walsh 1990,3,7,O,ALR,107,,,,,,,,
AZTI,3,1,46.75,-4.89,108,MAC,D,38.1,1,397.8,F,Walsh 1990,3,6,O,ALR,108,,,,,,,,
AZTI,3,1,46.75,-4.89,109,MAC,D,38.5,1,431,F,Walsh 1990,3,7,O,ALR,109,,,,,,,,
AZTI,3,1,46.75,-4.89,110,MAC,D,38,1,401,F,Walsh 1990,3,8,O,ALR,110,,,,,,,,
AZTI,3,1,46.75,-4.89,111,MAC,D,38.6,1,392,F,Walsh 1990,3,7,O,ALR,111,,,,,,,,
AZTI,3,1,46.75,-4.89,112,MAC,D,39.1,1,410.2,F,Walsh 1990,3,8,O,ALR,112,,,,,,,,
AZTI,3,1,46.75,-4.89,113,MAC,D,37.3,1,352.2,F,Walsh 1990,3,6,O,ALR,113,,,,,,,,
AZTI,3,1,46.75,-4.89,114,MAC,D,40.8,1,472.8,F,Walsh 1990,3,15,O,ALR,114,,,,,,,,
AZTI,3,1,46.75,-4.89,115,MAC,D,37.5,1,351.4,F,Walsh 1990,3,6,O,ALR,115,,,,,,,,
AZTI,3,1,46.75,-4.89,116,MAC,D,38.8,1,399.6,F,Walsh 1990,3,8,O,ALR,116,,,,,,,,
AZTI,3,1,46.75,-4.89,117,MAC,D,39.2,1,417.2,F,Walsh 1990,4,8,O,ALR,117,K,K061,44.8,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,118,MAC,D,40.5,1,446.6,F,Walsh 1990,3,10,O,ALR,118,,,,,,,,
AZTI,3,1,46.75,-4.89,119,MAC,D,39.7,1,479.4,F,Walsh 1990,3,11,O,ALR,119,,,,,,,,
AZTI,3,1,46.75,-4.89,120,MAC,D,40.4,1,472.6,F,Walsh 1990,3,12,O,ALR,120,,,,,,,,
AZTI,3,1,46.75,-4.89,121,MAC,D,36.1,1,381,F,Walsh 1990,3,7,O,ALR,121,,,,,,,,
AZTI,3,1,46.75,-4.89,122,MAC,D,38.8,1,403.6,F,Walsh 1990,3,10,O,ALR,122,,,,,,,,
AZTI,3,1,46.75,-4.89,123,MAC,D,39.1,1,413.2,F,Walsh 1990,3,10,O,ALR,123,,,,,,,,
AZTI,3,1,46.75,-4.89,124,MAC,D,38,1,417,F,Walsh 1990,3,9,O,ALR,124,,,,,,,,
AZTI,3,1,46.75,-4.89,125,MAC,D,40,1,469.2,F,Walsh 1990,3,,O,ALR,125,,,,,,,,
AZTI,3,1,46.75,-4.89,126,MAC,D,40.3,1,506.6,F,Walsh 1990,3,10,O,ALR,126,,,,,,,,
AZTI,3,1,46.75,-4.89,127,MAC,D,38,1,382.2,F,Walsh 1990,3,9,O,ALR,127,,,,,,,,
AZTI,3,1,46.75,-4.89,128,MAC,D,39.5,1,427.4,F,Walsh 1990,3,12,O,ALR,128,,,,,,,,
AZTI,3,1,46.75,-4.89,129,MAC,D,41,1,499.6,F,Walsh 1990,4,12,O,ALR,129,K,K062,50.5,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,130,MAC,D,38.8,1,444.2,F,Walsh 1990,3,13,O,ALR,130,,,,,,,,
AZTI,3,1,46.75,-4.89,131,MAC,D,40.7,1,501.8,F,Walsh 1990,3,9,O,ALR,131,,,,,,,,
AZTI,3,1,46.75,-4.89,132,MAC,D,38.7,1,439.8,F,Walsh 1990,3,9,O,ALR,132,,,,,,,,
AZTI,3,1,46.75,-4.89,133,MAC,D,41.1,1,473.4,F,Walsh 1990,3,9,O,ALR,133,,,,,,,,
AZTI,3,1,46.75,-4.89,134,MAC,D,39.2,1,416.6,F,Walsh 1990,3,7,O,ALR,134,,,,,,,,
AZTI,3,1,46.75,-4.89,135,MAC,D,37.7,1,383.4,M,Walsh 1990,4,11,O,ALR,135,,,,,,,,
AZTI,3,1,46.75,-4.89,136,MAC,D,39.5,1,428.2,M,Walsh 1990,4,10,O,ALR,136,,,,,,,,
AZTI,3,1,46.75,-4.89,137,MAC,D,38.5,1,382.4,M,Walsh 1990,4,7,O,ALR,137,,,,,,,,
AZTI,3,1,46.75,-4.89,138,MAC,D,36.2,1,357.4,M,Walsh 1990,4,5,O,ALR,138,,,,,,,,
AZTI,3,1,46.75,-4.89,139,MAC,D,39.9,1,469.4,M,Walsh 1990,4,11,O,ALR,139,,,,,,,,
AZTI,3,1,46.75,-4.89,140,MAC,D,39,1,406.8,M,Walsh 1990,4,8,O,ALR,140,,,,,,,,
AZTI,3,1,46.75,-4.89,141,MAC,D,37.8,1,393.4,M,Walsh 1990,4,8,O,ALR,141,,,,,,,,
AZTI,3,1,46.75,-4.89,142,MAC,D,40.2,1,482.6,M,Walsh 1990,4,11,O,ALR,142,,,,,,,,
AZTI,3,1,46.75,-4.89,143,MAC,D,38.6,1,402,M,Walsh 1990,4,7,O,ALR,143,,,,,,,,
AZTI,3,1,46.75,-4.89,144,MAC,D,37.2,1,378.6,M,Walsh 1990,4,9,O,ALR,144,,,,,,,,
AZTI,3,1,46.75,-4.89,145,MAC,D,38.6,1,405.2,M,Walsh 1990,4,8,O,ALR,145,,,,,,,,
AZTI,3,1,46.75,-4.89,146,MAC,D,38.3,1,390.8,M,Walsh 1990,4,7,O,ALR,146,,,,,,,,
AZTI,3,1,46.75,-4.89,147,MAC,D,37.6,1,393.8,M,Walsh 1990,4,8,O,ALR,147,,,,,,,,
AZTI,3,1,46.75,-4.89,148,MAC,D,40.4,1,467,M,Walsh 1990,4,11,O,ALR,148,,,,,,,,
AZTI,3,1,46.75,-4.89,149,MAC,D,37.7,1,341.8,M,Walsh 1990,4,7,O,ALR,149,,,,,,,,
AZTI,3,1,46.75,-4.89,150,MAC,D,38.7,1,362.2,M,Walsh 1990,4,8,O,ALR,150,,,,,,,,
AZTI,3,1,46.75,-4.89,151,MAC,D,38.8,1,417.8,F,Walsh 1990,3,9,O,ALR,151,,,,,,,,
AZTI,3,1,46.75,-4.89,152,MAC,D,38.2,1,374.2,F,Walsh 1990,3,10,O,ALR,152,,,,,,,,
AZTI,3,1,46.75,-4.89,153,MAC,D,39,1,479.4,F,Walsh 1990,3,9,O,ALR,153,,,,,,,,
AZTI,3,1,46.75,-4.89,154,MAC,D,41.7,1,497.4,F,Walsh 1990,3,12,O,ALR,154,,,,,,,,
AZTI,3,1,46.75,-4.89,155,MAC,D,39.2,1,422.4,F,Walsh 1990,3,11,O,ALR,155,,,,,,,,
AZTI,3,1,46.75,-4.89,156,MAC,D,40.4,1,479.4,F,Walsh 1990,3,9,O,ALR,156,,,,,,,,
AZTI,3,1,46.75,-4.89,157,MAC,D,37.7,1,393.8,F,Walsh 1990,3,6,O,ALR,157,,,,,,,,
AZTI,3,1,46.75,-4.89,158,MAC,D,39.5,1,438,F,Walsh 1990,3,11,O,ALR,158,,,,,,,,
AZTI,3,1,46.75,-4.89,159,MAC,D,40,1,473.2,F,Walsh 1990,3,12,O,ALR,159,,,,,,,,
AZTI,3,1,46.75,-4.89,160,MAC,D,38.6,1,414,F,Walsh 1990,4,9,O,ALR,160,K,K063,51.3,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,161,MAC,D,39.2,1,436.4,F,Walsh 1990,3,12,O,ALR,161,,,,,,,,
AZTI,3,1,46.75,-4.89,162,MAC,D,38.8,1,378.4,F,Walsh 1990,3,9,O,ALR,162,,,,,,,,
AZTI,3,1,46.75,-4.89,163,MAC,D,38,1,420.6,F,Walsh 1990,3,8,O,ALR,163,,,,,,,,
AZTI,3,1,46.75,-4.89,164,MAC,D,39.4,1,440,F,Walsh 1990,3,8,O,ALR,164,,,,,,,,
AZTI,3,1,46.75,-4.89,165,MAC,D,37.7,1,363.4,F,Walsh 1990,3,7,O,ALR,165,,,,,,,,
AZTI,3,1,46.75,-4.89,166,MAC,D,41,1,492.2,F,Walsh 1990,3,11,O,ALR,166,,,,,,,,
AZTI,3,1,46.75,-4.89,167,MAC,D,36.2,1,332.2,F,Walsh 1990,4,4,O,ALR,167,K,K064,40.9,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,168,MAC,D,38.9,1,482,F,Walsh 1990,4,8,O,ALR,168,K,K065,56.3,Fresh,2X50 and 2x100,,Y,
AZTI,3,1,46.75,-4.89,169,MAC,D,39.3,1,437.4,F,Walsh 1990,3,10,O,ALR,169,,,,,,,,
AZTI,3,1,46.75,-4.89,170,MAC,D,38.1,1,433,F,Walsh 1990,3,9,O,ALR,170,,,,,,,,
AZTI,3,1,46.75,-4.89,171,MAC,D,38.6,1,428.2,F,Walsh 1990,3,9,O,ALR,171,,,,,,,,
AZTI,3,1,46.75,-4.89,172,MAC,D,36.3,1,342.6,F,Walsh 1990,3,4,O,ALR,172,,,,,,,,
AZTI,3,1,46.75,-4.89,173,MAC,D,38.8,1,411.8,F,Walsh 1990,3,7,O,ALR,173,,,,,,,,
AZTI,3,1,46.75,-4.89,174,MAC,D,38.9,1,394.2,F,Walsh 1990,3,6,O,ALR,174,,,,,,,,
AZTI,3,1,46.75,-4.89,175,MAC,D,39.6,1,489.2,F,Walsh 1990,3,9,O,ALR,175,,,,,,,,
AZTI,3,1,46.75,-4.89,176,MAC,D,38.5,1,389.2,F,Walsh 1990,3,9,O,ALR,176,,,,,,,,
AZTI,3,1,46.75,-4.89,177,MAC,D,38.8,1,407.4,F,Walsh 1990,3,9,O,ALR,177,,,,,,,,
AZTI,3,1,46.75,-4.89,178,MAC,D,39.6,1,444,F,Walsh 1990,3,7,O,ALR,178,,,,,,,,
AZTI,3,1,46.75,-4.89,179,MAC,D,38.2,1,435,F,Walsh 1990,3,9,O,ALR,179,,,,,,,,
AZTI,3,1,46.75,-4.89,180,MAC,D,39,1,407.8,F,Walsh 1990,3,8,O,ALR,180,,,,,,,,
AZTI,3,1,46.75,-4.89,181,MAC,D,39.7,1,393.2,F,Walsh 1990,3,6,O,ALR,181,,,,,,,,
AZTI,3,1,46.75,-4.89,182,MAC,D,40.1,1,491.6,F,Walsh 1990,3,7,O,ALR,182,,,,,,,,
AZTI,3,1,46.75,-4.89,183,MAC,D,40.9,1,487.8,M,Walsh 1990,4,11,O,ALR,183,,,,,,,,
AZTI,3,1,46.75,-4.89,184,MAC,D,39.4,1,440.6,M,Walsh 1990,4,12,O,ALR,184,,,,,,,,
AZTI,3,1,46.75,-4.89,185,MAC,D,39.2,1,444.6,M,Walsh 1990,4,7,O,ALR,185,,,,,,,,
AZTI,3,1,46.75,-4.89,186,MAC,D,39.7,1,447.4,M,Walsh 1990,4,8,O,ALR,186,,,,,,,,
AZTI,3,1,46.75,-4.89,187,MAC,D,37,1,325.4,M,Walsh 1990,4,6,O,ALR,187,,,,,,,,
AZTI,3,1,46.75,-4.89,188,MAC,D,38.8,1,410.4,M,Walsh 1990,4,9,O,ALR,188,,,,,,,,
