Sample_ref,SurveyPeriod,Institute_H,Oocyte_stage_H,Hydration_state,Egg_stage_H,POF_H,Spent_H,Massive_atr_H,Early_alpha_H,Discard_H,Comment_H,Fecundity_H,Spawn_marker_H,Spawning_H,Spawn_atretic_H,Batch_fec_H,Age,CalendarDay,Country,FishLength,FishWeight,Maturity Walsh,Maturity WKMATCH 2012 revised,OvaryWeight,SamplingApproach,StartLatitude,StartLongitude
A012,3,WMR,3,0,0,0,0,0,0,0,,yes,no,no,no,no,,73,IE,38,430,2,,10.3,R,52.2513,-11.35
A013,3,AZTI,3,0,0,0,0,0,0,0,,yes,no,no,no,no,,73,IE,30,200,3,,5.5,R,52.2513,-11.35
A014,3,IEO,3,0,0,0,0,0,0,0,,yes,no,no,no,no,,75,IE,32,240,3,,17.9,R,51.2518,-10.3959
A015,3,DTU,4,0,0,0,0,0,0,0,Longitudinal section,yes,no,no,no,no,,75,IE,38,408,3,,37.6,R,51.2518,-10.3959
A016,3,IMR,4,0,0,0,0,0,0,0,"Bad quality sample, no pof",yes,no,no,no,no,,75,IE,36,336,3,,26.8,R,51.2518,-10.3959
A017,3,WMR,5,2,0,1,0,0,0,0,,no,yes,yes,no,yes,,75,IE,35,358,4,,39,R,51.2518,-10.3959
A018,3,AZTI,3,0,0,0,0,0,0,0,,yes,no,no,no,no,,75,IE,39,411,3,,26.6,R,51.2518,-10.3959
A019,3,IEO,5,1,1,0,0,0,0,0,,no,yes,yes,no,no,,75,IE,38,416,3,,39.2,R,51.2518,-10.3959
A020,3,DTU,3,0,0,0,0,0,0,0,Longitudinal section,yes,no,no,no,no,,75,IE,38,393,3,,27,R,51.2518,-10.3959
A021,3,IMR,3,0,0,1,0,0,0,0,,no,yes,yes,no,no,,75,IE,31,227,3,,6.5,R,51.2518,-10.3959
A022,3,WMR,3,0,0,0,0,0,0,0,few oocytes in slide; oocytes are just 4 or late 3,yes,no,no,no,no,,75,IE,32,226,3,,16.3,R,51.2518,-10.3959
A023,3,AZTI,3,0,0,0,0,0,0,0,,yes,no,no,no,no,,75,IE,37,372,3,,30.5,R,51.2518,-10.3959
A024,3,IEO,3,0,0,0,0,0,0,0,,yes,no,no,no,no,,75,IE,35,330,3,,14.9,R,51.2518,-10.3959
A025,3,DTU,4,0,0,0,0,0,0,0,Longitudinal section,yes,no,no,no,no,,75,IE,38,408,3,,28.8,R,51.2518,-10.3959
A026,3,IMR,4,0,0,0,0,0,0,0,,yes,no,no,no,no,,75,IE,33,263,3,,24.1,R,51.2518,-10.3959
A027,3,WMR,3,0,0,0,0,0,0,0,,yes,no,no,no,no,,75,IE,38,398,3,,19.4,R,51.2518,-10.3959
A028,3,AZTI,3,0,0,1,0,0,0,0,,no,yes,yes,no,no,,75,IE,37,415,3,,23.5,R,51.2518,-10.3959
A029,3,IEO,4,0,0,0,0,0,0,0,,yes,no,no,no,no,,75,IE,36,347,3,,27.1,R,51.2518,-10.3959
A030,3,DTU,4,0,0,1,0,0,0,0,,no,yes,yes,no,no,,75,IE,31,224,3,,16.9,R,51.2518,-10.3959
A031,3,IMR,4,0,0,0,0,0,0,0,,yes,no,no,no,no,,75,IE,32,252,3,,15.6,R,51.2518,-10.3959
A032,3,WMR,3,0,0,0,0,0,0,0,,yes,no,no,no,no,,75,IE,37,374,3,,24.9,R,51.2518,-10.3959
A033,3,AZTI,3,0,0,0,0,0,0,0,,yes,no,no,no,no,,75,IE,34,282,3,,10.3,R,51.2518,-10.3959
A034,3,IEO,4,0,0,0,0,0,0,0,,yes,no,no,no,no,,75,IE,34,307,3,,24.2,R,51.2518,-10.3959
A035,3,DTU,3,0,0,0,0,0,0,0,,yes,no,no,no,no,,75,IE,37,417,3,,38.4,R,51.2518,-10.3959
A036,3,IMR,3,0,0,0,0,0,0,0,,yes,no,no,no,no,,75,IE,33,274,3,,14.3,R,51.2518,-10.3959
A037,3,WMR,3,0,0,0,0,0,0,0,,yes,no,no,no,no,,75,IE,35,330,3,,29.6,R,51.2518,-10.3959
A038,3,AZTI,3,0,0,0,0,0,0,0,,yes,no,no,no,no,,75,IE,37,384,3,,31.2,R,51.2518,-10.3959
A039,3,IEO,4,0,0,0,0,0,0,0,,yes,no,no,no,no,,75,IE,37,405,3,,19,R,51.2518,-10.3959
A040,3,DTU,4,0,0,0,0,0,0,0,Longitudinal section,yes,no,no,no,no,,75,IE,34,304,3,,26.3,R,51.2518,-10.3959
A041,3,IMR,5,2,0,1,0,0,1,0,,no,yes,yes,yes,yes,,75,IE,37,350,3,,35.8,R,51.2518,-10.3959
A042,3,WMR,3,0,0,1,0,0,0,0,Beta atresia old POF (not sure it is really a POF),no,yes,yes,no,no,,75,IE,36,377,3,,19.7,R,51.2518,-10.3959
A043,3,AZTI,3,0,0,0,0,0,0,0,,yes,no,no,no,no,,75,IE,35,335,3,,19.1,R,51.2518,-10.3959
A044,3,IEO,3,0,0,0,0,0,0,0,,yes,no,no,no,no,,75,IE,37,383,3,,30.3,R,51.2518,-10.3959
A045,3,DTU,4,0,0,0,0,0,0,0,Longitudinal section - this sample had A004 as sample_ref in preliminary results,yes,no,no,no,no,,75,IE,37,369,3,,32.5,R,51.2518,-10.3959
A046,3,IMR,5,1,0,1,0,0,0,0,,no,yes,yes,no,no,,75,IE,35,327,3,,37.5,R,51.2518,-10.3959
A047,3,WMR,3,0,0,0,0,0,0,0,,yes,no,no,no,no,,75,IE,33,248,2,,10.1,R,51.2518,-10.3959
A048,3,AZTI,3,0,1,1,0,0,1,0,,no,yes,yes,yes,no,,75,IE,37,385,3,,16.2,R,51.2518,-10.3959
A049,3,IEO,4,0,0,0,0,0,0,0,,yes,no,no,no,no,,75,IE,35,329,3,,28.6,R,51.2518,-10.3959
A050,3,DTU,4,0,0,0,0,0,0,0,Longitudinal section,yes,no,no,no,no,,75,IE,35,306,3,,24.3,R,51.2518,-10.3959
A051,3,IMR,3,0,0,0,0,0,0,0,,yes,no,no,no,no,,75,IE,33,268,3,,17.4,R,51.2518,-10.3959
A052,3,WMR,3,0,0,0,0,0,0,0,,yes,no,no,no,no,,75,IE,36,354,3,,20.5,R,51.2518,-10.3959
A053,3,AZTI,3,0,0,0,0,0,0,0,,yes,no,no,no,no,,75,IE,35,321,2,,11.5,R,51.2518,-10.3959
A054,3,IEO,3,0,0,0,0,0,0,0,,yes,no,no,no,no,,75,IE,33,267,2,,9.9,R,51.2518,-10.3959
A055,3,DTU,3,0,0,0,0,1,1,0,,no,no,no,no,no,,75,IE,29,165,3,,6.3,R,51.2518,-10.3959
A056,3,IMR,5,3,1,1,0,0,0,0,,no,yes,yes,no,no,,75,IE,34,264,4,,27.9,D,51.2518,-10.3959
A058,3,AZTI,5,3,0,1,0,0,0,0,,no,yes,yes,no,yes,,75,IE,32,255,4,,25,D,51.2518,-10.3959
A059,3,IEO,5,3,0,1,0,0,1,0,Possible presence of hyaline eggs. Very doubtful.,no,yes,yes,yes,yes,,75,IE,32,223,4,,22.4,D,51.2518,-10.3959
A067,3,WMR,5,2,0,1,0,0,0,0,,no,yes,yes,no,yes,,,IE,30,192.0,4,Ca,20.9,D,51.2518,-10.3959
C001,4,IMR,5,1,0,1,0,0,0,0,,no,yes,yes,no,no,8,104,GB-SCT,38.6,433,4,,28.8,,59.0846,-7.0711
C002,4,WMR,4,0,0,1,0,0,0,0,,no,yes,yes,no,no,8,104,GB-SCT,38.4,410.8,4,,23.5,,59.0846,-7.0711
C003,4,AZTI,4,0,0,1,0,0,0,0,,no,yes,yes,no,no,5,104,GB-SCT,36.1,287.9,3,,19.9,,59.0846,-7.0711
C005,4,DTU,4,0,0,0,0,0,1,0,Many late atretic (70%). Mass atresia? End of spawning period,yes,no,no,no,no,8,104,GB-SCT,36.2,365.2,4,,15.4,,59.0846,-7.0711
C006,4,IMR,4,0,0,1,0,0,1,0,,no,yes,yes,yes,no,12,104,GB-SCT,38.7,443.8,3,,31.7,,59.0846,-7.0711
C007,4,WMR,4,0,0,1,0,0,1,0,,no,yes,yes,yes,no,13,104,GB-SCT,39.4,384.4,3,,16.8,,59.0846,-7.0711
C008,4,AZTI,2,0,0,1,0,1,1,0,,no,yes,no,no,no,12,104,GB-SCT,43.2,433.6,5,,11.1,,59.0846,-7.0711
C010,4,DTU,4,0,0,1,0,0,1,0,Many late atretic,no,yes,yes,yes,no,7,104,GB-SCT,38.1,363.4,3,,19.9,,59.0846,-7.0711
C011,4,IMR,4,0,0,1,0,0,1,0,,no,yes,yes,yes,no,6,104,GB-SCT,36.2,358.6,4,,32.3,,59.0846,-7.0711
C012,4,WMR,4,0,0,1,0,0,1,0,,no,yes,yes,yes,no,9,104,GB-SCT,37.7,376.8,3,,29.8,,59.0846,-7.0711
C013,4,AZTI,4,0,2,1,0,0,0,0,Only 1 hydrated,no,yes,yes,no,no,9,104,GB-SCT,37.9,422.8,4,,36,,59.0846,-7.0711
C015,4,DTU,4,0,0,1,0,0,0,0,,no,yes,yes,no,no,9,104,GB-SCT,37.2,377.8,4,,20.7,,59.0846,-7.0711
C016,4,IMR,3,0,0,1,0,0,0,0,,no,yes,yes,no,no,3,104,GB-SCT,33.3,262.3,3,,14.6,,59.0846,-7.0711
C017,4,WMR,,,,,,,,1,no slide,no,no,no,no,no,12,104,GB-SCT,42.9,541.8,4,,26.9,,59.0846,-7.0711
C018,4,AZTI,5,3,0,1,0,0,0,0,,no,yes,yes,no,yes,5,104,GB-SCT,36.8,322.4,4,,33.7,,59.0846,-7.0711
C020,4,DTU,4,0,0,1,0,0,0,0,,no,yes,yes,no,no,11,104,GB-SCT,38.3,402.2,4,,25.6,,59.0846,-7.0711
C021,4,IMR,4,0,0,0,0,0,0,0,,yes,no,no,no,no,13,104,GB-SCT,37.7,417.8,3,,27.5,,59.0846,-7.0711
C022,4,WMR,,,,,,,,1,geen slide?,no,no,no,no,no,5,104,GB-SCT,36.7,300.8,3,,24,,59.0846,-7.0711
C023,4,AZTI,5,3,0,1,0,1,1,0,Few hydrated,no,yes,no,no,no,13,104,GB-SCT,40.7,444.2,5,,10.3,,59.0846,-7.0711
C025,4,DTU,5,3,1,1,0,0,0,0,,no,yes,yes,no,no,5,104,GB-SCT,35.8,331.4,4,,30.2,,59.0846,-7.0711
C026,4,IMR,5,1,0,1,0,0,1,0,Atresia not > 90%,no,yes,yes,yes,no,5,104,GB-SCT,37.1,346,3,,22.1,,59.0846,-7.0711
C027,4,WMR,,,,,,,,1,no slide,no,no,no,no,no,9,104,GB-SCT,37.9,415,3,,33.4,,59.0846,-7.0711
C028,4,AZTI,4,0,0,1,0,0,0,0,,no,yes,yes,no,no,6,104,GB-SCT,35.9,316.8,4,,20.3,,59.0846,-7.0711
C030,4,DTU,4,0,0,0,0,0,0,1,Preservation failure. Tissue is crumbling when sectioning. Small piece of tissue,no,no,no,no,no,,,GB-SCT,39.6,376.4,4,Ca,16.2,,59.0846,-7.0711
C031,4,IMR,3,0,0,0,0,0,0,0,,yes,no,no,no,no,12,105,GB-SCT,40.7,429.6,3,,7.4,,58.1323,-8.5055
C032,4,WMR,4,0,0,1,0,0,1,0,,no,yes,yes,yes,no,9,105,GB-SCT,38.6,414.8,3,,29.4,,58.1323,-8.5055
C033,4,AZTI,4,0,1,1,0,1,1,0,,no,yes,no,no,no,10,105,GB-SCT,38,409.4,4,,22.1,,58.1323,-8.5055
C035,4,DTU,4,0,2,0,0,1,0,1,Preservation failure. Many eggs,no,yes,no,no,no,11,105,GB-SCT,39.4,441,4,,23.3,,58.1323,-8.5055
C036,4,IMR,4,0,0,0,0,0,1,0,,yes,no,no,no,no,9,105,GB-SCT,38.2,421.8,3,,22.1,,58.1323,-8.5055
C037,4,WMR,3,0,0,0,0,0,1,0,lots of old atresia,yes,no,no,no,no,10,105,GB-SCT,36.7,362.6,5,,13.5,,58.1323,-8.5055
C038,4,AZTI,4,0,0,1,0,0,0,0,,no,yes,yes,no,no,11,105,GB-SCT,40,515.4,3,,34.7,,58.1323,-8.5055
C040,4,DTU,4,0,0,0,0,1,0,0,Only one healty GVM,no,no,no,no,no,6,105,GB-SCT,37.5,372.4,3,,15.9,,58.1323,-8.5055
C041,4,IMR,4,0,0,0,0,0,0,0,,yes,no,no,no,no,6,105,GB-SCT,35.6,322,3,,27.7,,58.1323,-8.5055
C042,4,WMR,4,0,0,1,0,0,0,0,,no,yes,yes,no,no,6,105,GB-SCT,35.3,318.8,3,,28.8,,58.1323,-8.5055
C043,4,AZTI,4,0,1,1,0,0,0,0,Only 1 hydrated,no,yes,yes,no,no,6,105,GB-SCT,35.2,310.4,4,,22.7,,58.1323,-8.5055
C045,4,DTU,5,1,0,0,0,0,1,0,POF?,no,yes,yes,yes,no,6,105,GB-SCT,36.8,301.2,3,,20.6,,58.1323,-8.5055
C046,4,IMR,4,0,1,1,0,0,1,0,,no,yes,yes,yes,no,5,105,GB-SCT,35,305.4,4,,19.7,,58.1323,-8.5055
C047,4,WMR,5,1,0,1,0,0,1,0,,no,yes,yes,yes,no,12,105,GB-SCT,39.1,430,3,,12,,58.1323,-8.5055
C048,4,AZTI,5,3,1,1,0,0,0,0,Many beta atresia,no,yes,yes,no,no,,105,GB-SCT,39,414.4,4,,16,,58.1323,-8.5055
C050,4,DTU,5,3,1,1,0,0,0,0,,no,yes,yes,no,no,7,105,GB-SCT,36.3,326.8,4,,15.9,,58.1323,-8.5055
C051,4,IMR,5,3,0,1,0,0,1,0,,no,yes,yes,yes,yes,9,105,GB-SCT,39.2,420.2,4,,25.4,,58.1323,-8.5055
C052,4,WMR,5,1,0,1,0,0,0,0,"bad quality tissue, possibly early alpha atresia",no,yes,yes,no,no,9,105,GB-SCT,40.2,408.2,4,,21.8,,58.1323,-8.5055
C053,4,AZTI,4,0,0,1,0,1,1,0,,no,yes,no,no,no,5,105,GB-SCT,36.5,326,3,,15,,58.1323,-8.5055
C055,4,DTU,2,0,0,0,0,1,0,0,Many late atretic. Spawning ended,no,no,no,no,no,10,105,GB-SCT,41.6,481.8,4,,12.3,,58.1323,-8.5055
C056,4,IMR,4,0,0,0,0,0,0,0,some beta atresia,yes,no,no,no,no,10,105,GB-SCT,39.5,397,3,,33.7,,58.1323,-8.5055
C057,4,WMR,5,3,0,1,0,0,0,0,lots of old atresia,no,yes,yes,no,yes,,105,GB-SCT,34,284.8,4,,18.1,,58.1323,-8.5055
C058,4,AZTI,,,,,,,,1,CANNOT REPEAT THE HISTOBLOCK,no,no,no,no,no,5,105,GB-SCT,35,276,4,,15.4,,58.1323,-8.5055
C060,4,DTU,5,3,1,1,0,0,1,0,,no,yes,yes,yes,no,12,105,GB-SCT,43,529.4,4,,32.1,,58.1323,-8.5055
C061,4,IMR,4,0,0,1,0,0,1,0,Lot of beta atresia,no,yes,yes,yes,no,8,105,GB-SCT,38.4,411,4,,27.3,,58.1323,-8.5055
C062,4,WMR,5,3,0,0,0,0,0,0,slide deels onscherp,no,yes,yes,no,yes,,108,GB-SCT,37.8,386.4,4,,17.2,,57.1134,-9.1414
C063,4,AZTI,4,0,0,1,0,0,1,0,Many beta atresia,no,yes,yes,yes,no,8,108,GB-SCT,40.1,405.8,4,,16.1,,57.1134,-9.1414
C065,4,DTU,4,0,0,1,0,0,0,0,Late atretic,no,yes,yes,no,no,12,108,GB-SCT,39.1,435,4,,38.1,,57.1134,-9.1414
C066,4,IMR,4,0,1,1,0,0,0,0,,no,yes,yes,no,no,7,108,GB-SCT,38.2,404.8,4,,41.3,,57.1134,-9.1414
C067,4,WMR,5,1,0,1,0,0,0,0,,no,yes,yes,no,no,6,108,GB-SCT,35.4,334.4,3,,21.7,,57.1134,-9.1414
C068,4,AZTI,5,3,0,1,0,0,0,0,,no,yes,yes,no,yes,5,108,GB-SCT,33.9,269.9,4,,25.5,,57.1134,-9.1414
C070,4,DTU,2,0,0,0,0,1,0,0,Many late atretic. Spawning ended,no,no,no,no,no,9,108,GB-SCT,39.9,389,4,,10,,57.1134,-9.1414
C071,4,IMR,4,0,0,1,0,0,1,0,,no,yes,yes,yes,no,11,108,GB-SCT,39.3,398.6,4,,29.1,,57.1134,-9.1414
C072,4,WMR,5,3,1,1,0,0,0,0,,no,yes,yes,no,no,10,108,GB-SCT,39.1,390,4,,46.8,,57.1134,-9.1414
C073,4,AZTI,5,3,0,1,0,0,1,0,,no,yes,yes,yes,yes,6,108,GB-SCT,37.5,351.8,4,,31.8,,57.1134,-9.1414
C075,4,DTU,4,0,2,1,0,0,0,0,Late atresia,no,yes,yes,no,no,10,108,GB-SCT,37.1,348.2,4,,19.6,,57.1134,-9.1414
C076,4,IMR,4,0,1,1,0,0,0,0,,no,yes,yes,no,no,5,108,GB-SCT,36.3,307.6,4,,25.6,,57.1134,-9.1414
C077,4,WMR,5,3,0,1,0,0,1,0,,no,yes,yes,yes,yes,12,108,GB-SCT,38.7,430,4,,28.1,,57.1134,-9.1414
C078,4,AZTI,4,0,0,1,0,0,0,0,,no,yes,yes,no,no,6,108,GB-SCT,35,290.2,4,,19,,57.1134,-9.1414
C080,4,DTU,5,3,1,1,0,0,0,0,,no,yes,yes,no,no,9,108,GB-SCT,37,391.8,4,,38.6,,57.1134,-9.1414
C081,4,IMR,4,0,0,1,0,0,0,0,,no,yes,yes,no,no,7,108,GB-SCT,36.8,336,4,,20.3,,57.1134,-9.1414
C082,4,WMR,4,0,0,1,0,0,0,0,,no,yes,yes,no,no,6,108,GB-SCT,34.1,292,4,,16.9,,57.1134,-9.1414
C083,4,AZTI,4,0,0,1,0,0,1,0,,no,yes,yes,yes,no,6,108,GB-SCT,36.1,281.2,4,,13.3,,57.1134,-9.1414
C085,4,DTU,3,0,0,0,0,0,0,0,Late atresia,yes,no,no,no,no,11,108,GB-SCT,39.5,398.2,3,,17.4,,57.1134,-9.1414
C086,4,IMR,4,0,1,1,0,0,0,0,Lot of beta atresia,no,yes,yes,no,no,6,108,GB-SCT,37.1,346,4,,19.4,,57.1134,-9.1414
C087,4,WMR,5,3,0,1,0,0,0,0,,no,yes,yes,no,yes,9,108,GB-SCT,40,405.8,4,,22.4,,57.1134,-9.1414
C088,4,AZTI,5,3,1,1,0,0,0,0,,no,yes,yes,no,no,4,108,GB-SCT,34,300.2,4,,22.8,,57.1134,-9.1414
C090,4,DTU,5,3,1,1,0,0,0,0,,no,yes,yes,no,no,4,108,GB-SCT,34.6,308.8,4,,30,,57.1134,-9.1414
C091,4,IMR,5,3,1,1,0,0,1,0,,no,yes,yes,yes,no,9,108,GB-SCT,38.1,426.2,4,,26.3,,57.1134,-9.1414
C092,4,WMR,4,0,0,1,0,0,1,0,,no,yes,yes,yes,no,9,109,GB-SCT,40.1,446.6,3,,24.8,,58.1414,-8.4911
C093,4,AZTI,2,0,0,1,0,0,1,0,Many alpha and beta atresia,no,yes,no,no,no,8,109,GB-SCT,36.8,366.6,3,,13.9,,58.1414,-8.4911
C095,4,DTU,5,2,0,1,0,0,0,0,Atresia?,no,yes,yes,no,yes,9,109,GB-SCT,38.3,427.6,4,,29.9,,58.1414,-8.4911
C096,4,IMR,3,0,0,0,0,0,0,0,some beta atresia,yes,no,no,no,no,8,109,GB-SCT,38.6,447.5,3,,17.4,,58.1414,-8.4911
C097,4,WMR,2,0,0,0,0,1,0,0,,no,no,no,no,no,7,109,GB-SCT,37.7,374.4,5,,8,,58.1414,-8.4911
C098,4,AZTI,5,3,0,1,0,0,0,0,,no,yes,yes,no,yes,8,109,GB-SCT,35.9,381.6,4,,38.9,,58.1414,-8.4911
C100,4,DTU,4,0,0,0,0,0,0,0,,yes,no,no,no,no,9,109,GB-SCT,37,399.6,4,,33.1,,58.1414,-8.4911
C101,4,IMR,4,0,0,1,0,0,1,0,,no,yes,yes,yes,no,7,109,GB-SCT,38.3,403.6,3,,19.1,,58.1414,-8.4911
C102,4,WMR,4,0,0,0,0,0,0,0,,yes,no,no,no,no,9,109,GB-SCT,38.4,361.2,3,,16.3,,58.1414,-8.4911
C103,4,AZTI,5,2,0,1,0,0,0,0,,no,yes,yes,no,yes,6,109,GB-SCT,35.4,313,4,,22.7,,58.1414,-8.4911
C105,4,DTU,5,3,1,1,0,0,0,0,Many late atretic,no,yes,yes,no,no,6,109,GB-SCT,36.3,299.8,4,,14.9,,58.1414,-8.4911
C106,4,IMR,3,0,0,1,0,0,1,0,,no,yes,yes,yes,no,10,109,GB-SCT,37.5,354.4,5,,14.4,,58.1414,-8.4911
C107,4,WMR,4,0,0,1,0,0,0,0,,no,yes,yes,no,no,9,109,GB-SCT,37.5,374.2,5,,11,,58.1414,-8.4911
C108,4,AZTI,4,0,2,1,0,0,0,0,Many alpha and beta atresia,no,yes,yes,no,no,11,109,GB-SCT,38.4,425.4,5,,13.2,,58.1414,-8.4911
C110,4,DTU,5,3,1,1,0,0,0,0,,no,yes,yes,no,no,10,109,GB-SCT,38.6,444,4,,24.1,,58.1414,-8.4911
C111,4,IMR,5,3,0,0,0,0,1,0,,no,yes,yes,yes,yes,,109,GB-SCT,37.5,429.8,4,,43.2,,58.1414,-8.4911
C112,4,WMR,4,0,0,1,0,0,1,0,,no,yes,yes,yes,no,10,109,GB-SCT,41,451,4,,31.7,,58.1414,-8.4911
C113,4,AZTI,3,0,2,1,0,0,0,0,Many beta atresia,no,yes,yes,no,no,9,109,GB-SCT,36.7,371.8,3,,13.9,,58.1414,-8.4911
C115,4,DTU,2,0,0,0,0,1,0,0,Spawning ended,no,no,no,no,no,7,109,GB-SCT,38.8,376.6,5,,10.7,,58.1414,-8.4911
C116,4,IMR,4,0,0,1,0,0,1,0,some beta atresia,no,yes,yes,yes,no,5,109,GB-SCT,34.9,346.4,3,,18.6,,58.1414,-8.4911
C117,4,WMR,2,0,0,0,0,0,0,0,lots of old atresia,no,no,no,no,no,9,109,GB-SCT,38.9,380.8,5,,9.1,,58.1414,-8.4911
C120,4,DTU,4,0,2,1,0,0,1,0,Egg outside tissue,no,yes,yes,yes,no,6,109,GB-SCT,35.2,321,4,,30,,58.1414,-8.4911
C121,4,IMR,3,0,0,1,0,0,1,1,Discarded because uncertain about ovary ID,no,yes,no,no,no,10,109,GB-SCT,39.4,413.6,3,,19.1,,58.1414,-8.4911
C122,4,WMR,5,3,0,1,0,0,0,0,,no,yes,yes,no,yes,10,111,GB-SCT,38.1,397,4,,26.8,,59.5114,-5.1075
C123,4,AZTI,4,0,2,1,0,0,1,0,,no,yes,yes,yes,no,10,111,GB-SCT,40.5,475.6,4,,26.6,,59.5114,-5.1075
C125,4,DTU,2,0,0,0,0,1,1,0,Spawning ended ,no,no,no,no,no,,111,GB-SCT,38.7,410,5,,12.4,,59.5114,-5.1075
C126,4,IMR,5,1,0,1,0,0,1,0,,no,yes,yes,yes,no,9,111,GB-SCT,39.5,529.6,4,,19.2,,59.5114,-5.1075
C127,4,WMR,5,3,0,1,0,0,0,0,,no,yes,yes,no,yes,13,111,GB-SCT,38.5,433.2,4,,23.1,,59.5114,-5.1075
C128,4,AZTI,4,0,0,1,0,0,1,0,,no,yes,yes,yes,no,9,111,GB-SCT,38.8,385.6,4,,18.5,,59.5114,-5.1075
C130,4,DTU,2,0,0,0,0,1,0,0,Spawning ended. Poorly preserved,no,no,no,no,no,8,111,GB-SCT,36.4,349.2,5,,8.8,,59.5114,-5.1075
C131,4,IMR,3,0,1,1,0,0,0,0,,no,yes,yes,no,no,12,111,GB-SCT,38.4,400.8,3,,13.1,,59.5114,-5.1075
C132,4,WMR,5,3,1,0,0,0,1,0,,no,yes,yes,yes,no,5,111,GB-SCT,36.8,341.6,5,,15,,59.5114,-5.1075
C133,4,AZTI,2,0,0,1,0,1,0,0,,no,yes,no,no,no,8,111,GB-SCT,36.5,336.4,4,,13.2,,59.5114,-5.1075
C135,4,DTU,2,0,2,1,0,1,0,0,Spawning ended,no,yes,no,no,no,11,111,GB-SCT,38.2,387.2,4,,9,,59.5114,-5.1075
C136,4,IMR,5,3,0,1,0,0,1,0,,no,yes,yes,yes,yes,7,111,GB-SCT,39.3,447.2,4,,13.1,,59.5114,-5.1075
C137,4,WMR,3,0,0,0,0,0,1,0,,yes,no,no,no,no,10,111,GB-SCT,38.3,377.6,4,,18.2,,59.5114,-5.1075
C138,4,AZTI,5,3,1,1,0,0,0,0,,no,yes,yes,no,no,8,111,GB-SCT,38.5,384.4,4,,20.3,,59.5114,-5.1075
C140,4,DTU,4,0,0,0,0,0,0,0,Late atresia,yes,no,no,no,no,,111,GB-SCT,38.5,405.2,3,,27.3,,59.5114,-5.1075
C141,4,IMR,2,0,0,0,0,0,0,0,"Was C241, Ovary ID corrected based on fish data",no,no,no,no,no,7,111,GB-SCT,36.9,321.4,5,,6.8,,59.5114,-5.1075
C142,4,WMR,4,0,0,1,0,0,1,0,,no,yes,yes,yes,no,10,111,GB-SCT,38.2,364.2,3,,11.4,,59.5114,-5.1075
C143,4,AZTI,2,0,0,1,1,0,1,0,Many CA in atresia,no,yes,no,no,no,9,111,GB-SCT,39.7,486.4,3,,18.3,,59.5114,-5.1075
C145,4,DTU,2,0,0,0,0,1,1,0,Late atresia. Spawning ended,no,no,no,no,no,9,111,GB-SCT,37.4,355.4,4,,9.3,,59.5114,-5.1075
C146,4,IMR,4,0,0,1,0,0,0,0,,no,yes,yes,no,no,11,111,GB-SCT,39.4,396.8,3,,16.1,,59.5114,-5.1075
C147,4,WMR,3,0,0,1,0,0,1,0,,no,yes,yes,yes,no,10,111,GB-SCT,38.6,420.6,5,,9.7,,59.5114,-5.1075
C148,4,AZTI,2,0,2,1,0,1,0,0,"All hydrated atresic, many alpha and beta atresia",no,yes,no,no,no,13,111,GB-SCT,38.4,406.8,5,,7,,59.5114,-5.1075
C150,4,DTU,5,3,1,1,0,0,0,0,,no,yes,yes,no,no,5,111,GB-SCT,35.7,285.2,4,,17.1,,59.5114,-5.1075
